rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
9,0.716,529,1,1,1,39,0,62,0,50,5,6,4,3,6,2,15,0,437.72
75,0.25,169,5,1,0,25,2,37,0,76,5,7,4,3,6,4,3,0,0
115,0.347,469,7,0,0,39,0,61,0,50,2,14,4,3,8,5,18,1,3835
129,0.524,448,8,1,0,28,2,65,0,50,7,6,4,1,1,4,16,1,3230.68
166,0.926,227,3,0,1,32,1,42,0,90,5,9,4,3,7,4,10,1,992.5323263
292,0.971,56,4,1,1,32,1,23,0,100,6,12,4,3,5,3,12,1,1204
341,0.368,308,8,1,0,32,1,43,0,50,3,12,4,3,5,3,17,1,1944.57
480,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,0
570,0.249,166,2,0,0,32,1,32,0,90,5,8,4,3,6,4,15,2,917.7253776
714,0.214,188,6,0,0,34,1,34,0,63,3,9,4,3,4,4,15,2,469.4610272
896,0.833,334,1,1,0,32,2,51,0,50,5,11,4,3,7,5,13,1,698.14
945,0.641,186,3,0,0,32,1,34,0,72,1,12,4,3,8,4,7,2,243.08429
955,0.983,331,2,1,1,32,3,53,0,100,1,5,5,3,1,1,15,1,77.75
988,0.166,438,3,1,0,32,0,55,0,64,4,14,2,1,6,3,17,1,0
1041,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,1173
1059,0.416,377,2,0,0,20,0,49,0,118,1,17,5,3,9,3,8,0,1941.94
1077,0.583,175,1,1,1,32,0,32,0,60,5,11,2,1,7,4,12,1,1021.79
1261,0.5,379,3,0,0,32,2,51,0,55,5,9,4,3,3,5,15,1,1198.619637
1396,0.749,222,4,0,1,10,1,38,0,76,5,11,2,1,7,4,16,1,2801.873112
1429,0.192,176,0,0,1,32,3,33,0,100,5,7,2,1,4,2,19,1,1173
1503,0.808,651,5,1,0,39,0,79,0,56,5,12,4,3,8,5,17,0,1204
1560,0.833,123,5,0,1,32,1,38,1,100,5,6,4,1,4,2,17,1,1963.891541
1702,0.11,49,5,0,1,10,1,23,0,80,5,8,4,3,3,5,16,0,5940.15
1707,0.749,174,6,0,0,32,1,33,0,60,5,8,4,3,5,4,18,0,2346
1780,1,201,2,1,1,32,2,34,0,50,6,17,2,1,7,3,16,0,1769.3
1819,0.166,158,7,1,0,32,0,32,0,90,5,13,4,3,8,5,10,2,1070.42
1877,0.833,66,3,1,1,32,2,27,0,85,6,15,5,3,9,4,16,0,163.48
1997,0.347,162,1,0,1,32,1,36,0,64,5,6,4,3,5,2,17,1,60.16132931
2130,0.666,38,2,0,1,10,1,23,0,90,1,8,4,3,7,2,16,1,1454.71
2289,0.347,94,4,1,0,32,1,29,0,124,6,12,5,3,9,5,10,1,602
2335,0.487,347,1,0,1,32,0,55,0,50,7,13,2,1,8,5,16,1,0
2426,0.166,438,3,1,0,32,0,55,0,64,4,14,2,1,6,3,17,1,0
2544,0.249,180,2,0,0,34,1,34,0,51,5,9,4,3,6,4,11,2,0
2767,0.749,264,2,0,0,32,0,40,0,100,5,10,2,1,7,4,16,1,8075.603927
2881,0.469,269,0,0,0,34,1,41,0,60,1,12,4,3,7,4,1,0,4326.52568
2896,0.499,114,1,0,1,32,0,42,0,95,5,8,2,1,5,2,14,1,1326
3084,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,163.1
3152,0.867,335,0,0,0,32,2,51,0,50,7,8,2,1,3,4,20,1,3000.95
3156,0.688,48,4,0,1,32,2,22,0,95,5,5,4,3,2,1,19,1,1453.59
3173,1,143,1,1,0,32,1,30,0,68,6,12,2,1,4,5,17,1,2346
3191,0.196,260,7,1,0,32,1,40,0,50,5,14,4,3,7,3,7,1,4740.632628
3198,0.5,215,3,1,0,32,1,36,0,60,2,12,4,3,8,5,19,0,192.1722054
3204,0.166,161,6,1,1,32,0,33,0,90,5,8,5,1,5,4,20,1,1326
3240,0.666,350,8,0,0,32,1,47,0,106,7,8,4,1,3,5,17,1,1204
3333,0.291,143,2,1,0,32,0,38,0,80,6,12,2,1,7,4,20,1,14775
3342,0.333,146,5,0,0,0,0,30,0,90,5,6,4,1,4,2,9,1,90.41
3811,0.458,257,0,1,1,34,1,40,0,100,5,5,4,3,3,2,13,0,4562.175227
