Name,MAE,MAEScore,F1,F1Score
1_1_1,201.089532,5,0.091603,7
1_1_2,202.672532,4,0.091603,7
1_1_4,513.148481,2,0.088284,4
1_1_5,107.035981,29.5,0,2
1_1_6,107.062282,28,0,2
2_1_1,185.46827,21,0.09149,5
2_1_2,180.575856,24,0.092352,14
2_1_3,113.431196,48,0.105232,16
2_1_4,109.009892,51,0.048984,4
2_1_5,164.068734,25,0.139418,19
2_1_6,109.171632,50,0.04019,3
3_1_1,115.176512,32,0.457313,19
3_1_2,116.536342,29,0.452227,17
3_1_4,125.648266,24,0.316502,9
3_1_5,121.751673,27,0.383169,11
4_1_1,120.264863,31,0.429175,19
4_1_2,120.072188,32,0.429933,20
4_1_3,121.835129,29,0.4599,27
4_1_4,114.092841,36,0.476687,32
4_1_5,113.529668,37,0.47935,33
4_1_6,116.53309,34,0.438034,22
4_1_7,115.627659,35,0.434962,21
