rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,hasClaim
0,0.071,224,4,1,1,27,2,37,0,68,5,4,4,3,5,2,19,1,0
1,0.41600000000000004,292,3,1,0,32,1,49,0,50,5,14,2,1,9,5,8,2,0
2,0.7859999999999999,504,2,0,0,39,0,62,0,50,5,8,2,1,5,2,16,2,0
3,0.7490000000000001,278,5,1,0,34,1,44,1,68,5,8,4,3,6,4,20,1,0
4,0.23199999999999998,211,5,0,0,32,1,37,0,64,5,11,4,3,5,2,8,1,0
5,0.297,59,0,1,0,32,1,34,0,81,5,12,4,3,7,4,17,1,0
6,0.2,482,2,1,0,32,2,60,0,50,5,12,2,1,7,3,12,0,0
7,0.083,432,1,1,0,32,3,62,0,50,8,11,2,1,3,0,19,1,0
8,0.419,119,8,0,1,32,1,31,0,100,5,4,4,3,3,2,15,1,0
9,0.8370000000000001,356,3,0,0,32,0,52,1,50,2,4,5,3,1,1,15,1,0
10,0.75,486,1,1,0,32,0,58,0,50,5,13,4,3,7,5,17,1,0
11,0.047,95,5,0,0,32,1,26,0,68,5,6,4,3,6,2,7,1,0
12,0.833,267,4,1,0,32,1,40,0,90,4,13,2,1,4,3,10,1,0
13,0.5660000000000001,198,7,0,1,32,1,34,0,50,5,8,4,3,5,4,13,0,0
14,0.75,106,5,1,1,32,1,27,0,95,5,6,4,3,6,2,2,1,0
15,0.7490000000000001,84,2,0,0,20,0,37,0,119,1,9,4,3,8,2,16,1,0
16,0.42200000000000004,26,6,1,1,34,1,25,0,95,5,6,4,3,4,4,12,1,0
17,0.499,412,8,0,0,39,0,71,0,55,5,7,4,3,7,2,10,1,0
18,0.002,160,7,0,1,32,1,31,0,100,5,3,4,3,3,2,17,2,0
19,0.083,153,6,1,1,32,0,31,0,57,5,3,4,3,3,1,18,1,0
20,0.531,291,7,0,0,34,1,45,0,50,5,7,4,3,5,4,14,1,0
21,0.56,198,0,1,1,32,0,35,0,90,1,15,4,3,9,5,15,2,0
22,0.083,418,2,1,0,32,1,65,0,50,5,7,4,3,5,2,14,1,0
23,0.14,293,1,0,0,32,1,44,0,59,2,4,5,3,1,1,18,1,0
24,1.0,302,6,1,0,29,2,51,0,50,8,11,4,1,0,0,18,1,0
25,0.9490000000000001,546,2,1,0,32,2,63,0,50,5,9,4,3,7,2,14,1,0
26,0.617,420,8,1,0,32,2,53,0,85,5,13,4,3,8,3,15,1,0
27,0.25,462,8,0,0,0,2,57,0,50,5,0,1,3,1,1,14,1,0
28,0.027999999999999997,79,2,1,0,32,1,27,0,76,5,10,2,1,6,4,16,0,0
29,0.166,289,5,0,0,32,0,42,1,50,5,3,4,3,4,2,17,0,0
30,0.062,498,5,1,0,32,1,61,0,50,5,11,4,3,8,5,12,1,0
31,0.166,134,7,1,0,32,1,32,0,60,5,6,4,1,3,2,20,1,0
32,0.799,273,7,1,1,32,1,42,0,68,6,11,4,3,4,5,16,0,0
33,0.41100000000000003,75,3,0,0,34,1,24,0,72,5,9,4,3,8,4,17,0,0
34,0.278,143,0,0,1,32,0,31,1,95,5,5,4,3,4,2,16,1,0
35,0.042,294,1,0,0,32,1,46,0,50,5,9,4,3,4,2,9,1,0
36,0.6659999999999999,243,2,1,0,0,2,39,0,64,4,16,4,3,8,3,11,2,0
37,0.083,311,2,1,1,32,1,44,0,50,1,14,5,3,9,3,7,0,0
38,0.40299999999999997,166,0,0,1,32,1,36,0,64,5,6,4,3,5,2,17,1,0
39,0.6659999999999999,79,4,1,0,32,0,46,0,95,7,6,4,3,3,2,13,1,0
40,0.6659999999999999,145,0,1,1,32,1,31,0,125,1,9,4,3,6,2,19,1,0
41,0.083,831,5,0,0,39,0,87,1,50,5,5,4,3,4,2,17,0,0
42,0.28800000000000003,17,7,1,0,32,0,27,0,100,5,10,4,1,5,5,20,0,0
43,1.0,220,7,1,0,32,0,40,0,50,5,12,4,3,7,5,14,1,0
44,0.249,224,4,1,1,32,1,37,0,57,5,4,4,3,4,2,12,2,0
45,0.9159999999999999,649,3,0,1,39,0,73,1,132,5,5,4,3,4,2,15,1,0
46,0.9159999999999999,103,7,1,1,32,1,27,0,100,5,6,4,3,3,2,17,1,0
47,0.583,496,1,1,0,44,0,73,0,50,6,12,2,1,4,5,17,2,0
48,0.319,666,6,1,0,39,0,73,0,50,5,11,5,1,5,5,18,1,0
49,1.0,319,3,0,0,27,0,45,0,50,7,9,2,1,6,4,14,1,0
50,0.233,156,2,1,0,32,1,31,0,51,7,12,2,1,7,5,13,1,0
51,0.10300000000000001,164,1,0,0,32,1,31,0,95,7,15,5,3,8,3,7,0,0
52,0.31,144,6,1,1,32,0,30,0,64,5,4,4,3,3,1,4,1,0
53,0.25,307,8,1,0,32,1,52,0,50,5,1,1,3,2,2,19,1,0
54,0.41600000000000004,493,4,0,0,39,0,69,0,50,5,3,4,3,3,1,12,1,0
55,0.841,556,3,1,0,32,1,66,0,50,5,8,4,3,6,5,14,1,0
56,0.083,118,7,1,1,10,1,28,0,80,5,5,4,3,4,4,5,1,0
57,0.8420000000000001,394,8,1,1,32,1,55,0,50,5,5,1,3,4,2,13,1,0
58,0.5,195,8,0,0,32,0,36,1,68,5,3,1,3,2,2,20,1,0
59,0.307,372,1,1,0,32,2,49,0,50,7,13,2,1,8,5,13,1,0
60,0.002,170,0,1,0,32,1,33,0,72,5,8,2,1,4,2,7,0,0
61,0.4,120,0,1,0,32,2,29,0,54,5,9,2,1,4,4,8,1,0
62,0.853,233,2,1,0,32,1,38,0,85,4,10,4,3,6,5,7,1,0
63,0.25,309,0,1,0,32,2,51,0,50,3,14,2,1,5,3,11,1,0
64,0.41600000000000004,720,8,0,0,39,0,81,0,50,5,5,1,3,3,4,8,1,0
65,0.17800000000000002,214,7,0,1,32,1,38,0,50,5,3,4,3,2,2,12,1,0
66,0.177,71,7,1,1,10,1,23,0,100,5,4,4,3,3,2,5,1,0
67,1.0,599,4,1,0,39,0,68,0,50,5,10,4,3,8,5,16,1,0
68,0.583,408,8,0,1,34,1,85,1,50,5,3,1,3,2,2,11,1,0
69,0.7490000000000001,413,5,1,0,32,2,56,0,95,5,13,2,1,7,5,19,1,0
70,0.75,422,7,1,0,5,1,53,0,50,5,5,2,1,4,2,10,1,0
71,0.743,403,8,0,0,34,1,53,0,95,5,1,1,3,2,2,5,1,0
72,0.9159999999999999,194,3,1,0,34,1,37,0,95,5,10,4,3,7,5,13,1,0
73,0.45,402,0,0,0,39,0,66,0,50,2,13,2,1,8,5,17,0,0
74,0.2,454,2,1,0,32,0,57,0,85,5,9,4,3,7,2,7,1,0
75,0.833,137,8,1,0,32,0,29,1,68,1,11,4,3,7,3,15,1,0
76,0.003,71,7,1,0,32,1,33,0,100,8,5,4,1,1,4,18,1,0
77,0.061,172,6,1,0,32,1,38,0,54,5,6,5,1,4,4,13,1,0
78,0.7490000000000001,242,8,1,0,32,0,39,1,60,5,9,4,3,7,5,11,2,0
79,0.166,297,2,1,0,32,0,44,0,50,4,9,4,3,6,4,12,1,0
80,0.9159999999999999,73,2,0,1,10,1,24,0,85,5,5,4,3,4,2,17,0,0
81,0.833,287,2,1,0,32,0,43,0,50,4,9,4,3,6,4,12,1,0
82,0.040999999999999995,214,8,0,0,32,1,36,1,50,5,0,1,3,0,2,13,1,0
83,0.583,70,6,1,1,27,0,26,0,85,5,3,4,3,3,1,15,1,0
84,0.6659999999999999,179,5,0,0,29,2,33,0,76,3,10,2,1,5,4,14,1,0
