rowIndex,feature1,feature2,feature6,feature8,feature10,feature11,feature12,feature15,feature16,feature17,ClaimAmount
52500.0,0.319,67.0,32.0,35.0,90.0,5.0,11.0,7.0,4.0,10.0,140.50445246814928
52501.0,0.237,105.0,32.0,27.0,90.0,5.0,2.0,2.0,2.0,20.0,42.28214674587273
52502.0,0.166,491.0,32.0,64.0,58.0,5.0,9.0,6.0,4.0,13.0,42.28214674587273
52503.0,0.741,337.0,32.0,47.0,50.0,5.0,16.0,9.0,3.0,8.0,145.70542416570717
52504.0,1.0,633.0,39.0,81.0,50.0,5.0,9.0,6.0,4.0,16.0,145.70542416570717
52505.0,0.7490000000000001,227.0,32.0,37.0,50.0,6.0,11.0,4.0,5.0,16.0,145.70542416570717
52506.0,0.441,99.0,32.0,26.0,72.0,5.0,5.0,4.0,2.0,14.0,145.70542416570717
52507.0,0.489,160.0,32.0,32.0,50.0,6.0,12.0,5.0,5.0,16.0,145.70542416570717
52508.0,0.221,162.0,32.0,32.0,54.0,2.0,19.0,9.0,3.0,8.0,42.28214674587273
52509.0,0.381,331.0,32.0,49.0,50.0,6.0,13.0,4.0,3.0,16.0,145.70542416570717
52510.0,0.7020000000000001,475.0,29.0,57.0,50.0,8.0,11.0,3.0,0.0,11.0,145.70542416570717
52511.0,0.8220000000000001,398.0,32.0,53.0,50.0,7.0,13.0,6.0,3.0,16.0,145.70542416570717
52512.0,0.499,301.0,32.0,44.0,51.0,5.0,8.0,4.0,2.0,17.0,145.70542416570717
52513.0,0.483,439.0,32.0,54.0,50.0,7.0,15.0,8.0,3.0,7.0,145.70542416570717
52514.0,0.25,587.0,39.0,77.0,50.0,5.0,6.0,4.0,2.0,12.0,47.11130499174733
52515.0,0.6659999999999999,281.0,32.0,41.0,50.0,5.0,8.0,5.0,2.0,15.0,145.70542416570717
52516.0,0.146,150.0,32.0,30.0,72.0,5.0,3.0,3.0,1.0,8.0,42.28214674587273
52517.0,0.711,193.0,44.0,35.0,78.0,5.0,8.0,5.0,2.0,15.0,145.70542416570717
52518.0,0.375,144.0,0.0,31.0,76.0,5.0,5.0,3.0,1.0,18.0,145.70542416570717
52519.0,0.233,556.0,25.0,67.0,86.0,5.0,17.0,9.0,3.0,16.0,42.28214674587273
52520.0,0.325,168.0,32.0,32.0,72.0,5.0,4.0,3.0,2.0,19.0,140.50445246814928
52521.0,0.166,308.0,32.0,46.0,80.0,5.0,19.0,9.0,3.0,3.0,42.28214674587273
52522.0,0.618,168.0,32.0,42.0,80.0,5.0,11.0,5.0,2.0,15.0,145.70542416570717
52523.0,0.25,151.0,34.0,31.0,95.0,0.0,11.0,6.0,4.0,14.0,47.11130499174733
52524.0,0.7490000000000001,126.0,32.0,37.0,68.0,3.0,10.0,5.0,4.0,11.0,145.70542416570717
52525.0,0.9159999999999999,288.0,32.0,42.0,51.0,2.0,11.0,8.0,5.0,19.0,145.70542416570717
